Hospital,county,City,,"Pediatric
Medical
Surgical 
Care Beds","Obstetrics
Level","Obstetrics
Beds","Neonatal
Intensive
Care Beds","Neonatal
Intermediate
Care Beds","Pediatric
Intensive
Care Beds","Total
Births"
Hansford County Hospital,HANSFORD,Spearman,,0,,0,0,0,0,0
,HANSFORD Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-HARDEMAN,,,,,,,,,,
Chillicothe Hospital,HARDEMAN,Chillicothe,,NAV,,0,0,0,0,0
Hardeman County Memorial Hospital,HARDEMAN,Quanah,,0,,0,0,0,0,0
,HARDEMAN Total,,COUNTY SUBTOTALS,NAV,,0,0,0,0,0
COUNTY-HARDIN,,,,,,,,,,
Altus Lumberton LP,HARDIN,Lumberton,,0,,0,0,0,0,0
,HARDIN Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-HARRIS,,,,,,,,,,
Altus Baytown Hospital,HARRIS,Baytown,,0,,0,0,0,0,0
Bay Area Regional Medical Center,HARRIS,Webster,,0,,0,0,0,0,0
Bayshore Medical Center,HARRIS,Pasadena,,20,1,46,14,0,0,"4,424"
CHI St Lukes Health Baylor College of Medicine Medical Center,HARRIS,Houston,,0,1,9,0,0,0,0
Clear Lake Regional Medical Center,HARRIS,Webster,,28,2,67,33,16,10,"4,216"
Cornerstone Hospital of Houston - Clear Lake,HARRIS,Webster,,0,,0,0,0,0,0
Cornerstone Hospital of South Houston,HARRIS,Houston,,0,,0,0,0,0,0
Cypress Fairbanks Medical Center,HARRIS,Houston,,7,2,18,25,0,0,"3,020"
Doctors Hospital - Tidwell,HARRIS,Houston,,0,,0,0,0,0,0
Emerus Community Hospital,HARRIS,Tomball,,0,,0,0,0,0,0
Harris County Hospital District Ben Taub General Hospital,HARRIS,Houston,,6,1,71,40,48,0,"6,288"
Healthbridge Children's Hospital - Houston Ltd.,HARRIS,Houston,,37,,0,0,0,0,0
HEALTHSOUTH Rehabilitation Hospital of Cypress,HARRIS,Houston,,0,,0,0,0,0,0
HEALTHSOUTH Rehabilitation Hospital of Humble,HARRIS,Humble,,0,,0,0,0,0,0
HopeBridge Hospital,HARRIS,Houston,,0,,0,0,0,0,0
Houston Methodist Hosptial,HARRIS,Houston,,0,2,22,NAV,14,0,"1,102"
Houston Methodist San Jacinto Hospital,HARRIS,Baytown,,NAV,2,20,0,8,0,"1,659"
Houston Methodist St. Catherine Hospital,HARRIS,Katy,,0,,0,0,0,0,0
Houston Methodist St. John Hospital,HARRIS,Nassau Bay,,0,1,14,0,5,0,501
Houston Methodist West  Hospital,HARRIS,Houston,,0,2,35,0,14,0,"2,692"
Houston Methodist Willowbrook Hospital,HARRIS,Houston,,0,3,55,10,12,0,"3,349"
Houston Northwest Medical Center,HARRIS,Houston,,5,2,28,10,0,0,"4,408"
Houston Orthopedic & Spine Hospital,HARRIS,Bellaire,,0,,0,0,0,0,0
Houston Physicians' Hospital,HARRIS,Webster,,NAV,,0,0,0,0,0
Humble Surgical Hospital,HARRIS,Humble,,0,,0,0,0,0,0
"Icon Hospital, LLP",HARRIS,Humble,,0,,0,0,0,0,0
Kindred Hospital Bay Area,HARRIS,Pasadena,,0,,0,0,0,0,0
Kindred Hospital Clear Lake,HARRIS,Webster,,0,,0,0,0,0,0
Kindred Hospital Houston Medical Center,HARRIS,Houston,,0,,0,0,0,0,0
Kindred Hospital Houston Northwest,HARRIS,Houston,,0,,0,0,0,0,0
Kindred Hospital Tomball,HARRIS,Tomball,,0,,0,0,0,0,0
Kindred Rehabilitation Hospital Clear Lake,HARRIS,Webster,,0,,0,0,0,0,0
Kindred Rehabilitation Hospital Northeast Houston,HARRIS,Humble,,0,,0,0,0,0,0
Memorial Hermann Hospital,HARRIS,Houston,,86,3,68,80,38,20,"4,742"
Memorial Hermann Katy Hospital,HARRIS,Katy,,3,2,31,0,9,0,"2,202"
Memorial Hermann Memorial City Medical Center,HARRIS,Houston,,18,2,54,24,0,0,"3,509"
Memorial Hermann Northeast Hospital,HARRIS,Humble,,0,2,29,6,NAV,0,"1,423"
Memorial Hermann Northwest Hospital,HARRIS,Houston,,0,2,32,0,0,0,"2,528"
Memorial Hermann Rehabilitation Hospital Katy,HARRIS,Katy,,0,,0,0,0,0,0
Memorial Hermann Southeast Hospital,HARRIS,Houston,,0,2,23,11,0,0,"1,303"
Memorial Hermann Southwest Hospital,HARRIS,Houston,,4,2,14,14,26,0,"3,996"
Memorial Hermann Specialty Hospital Kingwood,HARRIS,Kingwood,,0,,0,0,0,0,0
North Cypress Medical Center,HARRIS,Cypress,,4,,0,0,0,0,0
Park Plaza Hospital,HARRIS,Houston,,0,,0,0,0,0,0
Plaza Specialty Hospital,HARRIS,Houston,,0,,0,0,0,0,0
Promise Hospital of Houston Inc,HARRIS,Houston,,0,,0,0,0,0,0
Red Oak Hospital,HARRIS,Houston,,0,,0,0,0,0,0
Reliant Northwest Houston,HARRIS,Houston,,0,,0,0,0,0,0
SCA Houston Hospital for Specialized Surgery,HARRIS,Houston,,0,,0,0,0,0,0
Select Specialty Hospital - Houston Heights,HARRIS,Houston,,0,,0,0,0,0,0
Shriners Hospitals For Children,HARRIS,Houston,,40,,0,0,0,0,0
Spring Central Hospital,HARRIS,Spring,,0,,0,0,0,0,0
St. Joseph Medical Center,HARRIS,Houston,,0,3,48,33,0,0,"5,078"
St. Luke's Hospital at the Vintage,HARRIS,Houston,,0,2,14,4,0,0,207
St. Luke's Patients Medical Center,HARRIS,Pasadena,,0,,0,0,0,0,0
Surgery Specialty Hospitals of America Southeast Houston,HARRIS,Pasadena,,0,,0,0,0,0,0
Texas Children's Hospital,HARRIS,Houston,,246,3,64,118,55,39,"5,588"
Texas Orthopedic Hospital,HARRIS,Houston,,0,,0,0,0,0,0
The Woman's Hospital of Texas,HARRIS,Houston,,18,3,150,42,82,14,"10,678"
TIRR Memorial Hermann,HARRIS,Houston,,0,,0,0,0,0,0
Tomball Regional Hospital,HARRIS,Tomball,,0,2,4,4,0,0,893
TOPS Surgical Specialty Hospital,HARRIS,Houston,,0,,0,0,0,0,0
University of Texas M.D. Anderson Cancer Center,HARRIS,Houston,,26,,0,0,0,9,0
Victory Medical Center Houston,HARRIS,Houston,,0,,0,0,0,0,0
Victory Surgical Hospital East Houston LP,HARRIS,Houston,,0,,0,0,0,0,0
West Houston Medical Center,HARRIS,Houston,,0,2,39,0,8,0,"2,911"
Westside Surgical Hosptial,HARRIS,Houston,,0,,0,0,0,0,0
,HARRIS Total,,COUNTY SUBTOTALS,548,,955,468,335,92,"76,717"
COUNTY-HARRISON,,,,,,,,,,
Good Shepherd Medical Center - Marshall,HARRISON,Marshall,,7,1,NAV,0,0,0,531
,HARRISON Total,,COUNTY SUBTOTALS,7,,NAV,0,0,0,531
COUNTY-HARTLEY,,,,,,,,,,
Coon Memorial Hospital and Home,HARTLEY,Dalhart,,0,1,2,0,0,0,152
,HARTLEY Total,,COUNTY SUBTOTALS,0,,2,0,0,0,152
COUNTY-HASKELL,,,,,,,,,,
Haskell Memorial Hospital,HASKELL,Haskell,,0,,0,0,0,0,0
,HASKELL Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-HAYS,,,,,,,,,,
Central Texas Medical Center,HAYS,San Marcos,,0,1,20,9,0,0,"1,021"
Seton Medical Center Hays,HAYS,Kyle,,0,2,12,2,0,0,869
Warm Springs Rehabilitation Hospital of Kyle,HAYS,Kyle,,0,,0,0,0,0,0
,HAYS Total,,COUNTY SUBTOTALS,0,,32,11,0,0,"1,890"
COUNTY-HEMPHILL,,,,,,,,,,
Hemphill County Hospital,HEMPHILL,Canadian,,2,,0,0,0,0,0
,HEMPHILL Total,,COUNTY SUBTOTALS,2,,0,0,0,0,0
COUNTY-HENDERSON,,,,,,,,,,
East Texas Medical Center Athens,HENDERSON,Athens,,NAV,1,17,0,0,0,924
,HENDERSON Total,,COUNTY SUBTOTALS,NAV,,17,0,0,0,924
COUNTY-HIDALGO,,,,,,,,,,
Cornerstone Regional Hospital,HIDALGO,Edinburg,,0,,0,0,0,0,0
Doctor's Hospital at Renaissance,HIDALGO,Edinburg,,36,2,84,25,38,12,"9,474"
Edinburg Regional Medical Center,HIDALGO,Edinburg,,97,1,79,46,0,29,"1,604"
Knapp Medical Center,HIDALGO,Weslaco,,32,2,32,0,9,0,"1,870"
LifeCare Hospitals of South Texas,HIDALGO,McAllen,,0,,0,0,0,0,0
Mission Regional Medical Center,HIDALGO,Mission,,14,2,41,20,0,0,"2,358"
Rio Grande Regional Hospital,HIDALGO,McAllen,,32,2,56,17,15,14,"2,474"
Solara Hospital McAllen LP,HIDALGO,McAllen,,0,,0,0,0,0,0
Weslaco Rehab Hospital,HIDALGO,Weslaco,,0,,0,0,0,0,0
,HIDALGO Total,,COUNTY SUBTOTALS,211,,292,108,62,55,"17,780"
COUNTY-HILL,,,,,,,,,,
Hill Regional Hospital,HILL,Hillsboro,,NAV,1,13,0,0,NAV,239
,HILL Total,,COUNTY SUBTOTALS,NAV,,13,0,0,NAV,239
COUNTY-HOCKLEY,,,,,,,,,,
Covenant Hospital Levelland,HOCKLEY,Levelland,,NAV,1,4,0,0,0,250
,HOCKLEY Total,,COUNTY SUBTOTALS,NAV,,4,0,0,0,250
COUNTY-HOOD,,,,,,,,,,
Lake Granbury Medical Center,HOOD,Granbury,,0,1,8,0,0,0,487
,HOOD Total,,COUNTY SUBTOTALS,0,,8,0,0,0,487
COUNTY-HOPKINS,,,,,,,,,,
Hopkins County Memorial Hospital,HOPKINS,Sulphur Springs,,0,2,6,0,4,0,779
,HOPKINS Total,,COUNTY SUBTOTALS,0,,6,0,4,0,779
COUNTY-HOUSTON,,,,,,,,,,
East Texas Medical Center - Crockett,HOUSTON,Crockett,,0,1,5,0,0,0,201
,HOUSTON Total,,COUNTY SUBTOTALS,0,,5,0,0,0,201
COUNTY-HOWARD,,,,,,,,,,
Scenic Mountain Medical Center,HOWARD,Big Spring,,NAV,1,10,0,0,0,266
,HOWARD Total,,COUNTY SUBTOTALS,NAV,,10,0,0,0,266
COUNTY-HUNT,,,,,,,,,,
Hunt Regional Community Hospital,HUNT,Commerce,,0,,0,0,0,0,0
Hunt Regional Medical Center Greenville,HUNT,Greenville,,0,2,19,6,3,0,965
,HUNT Total,,COUNTY SUBTOTALS,0,,19,6,3,0,965
COUNTY-HUTCHINSON,,,,,,,,,,
Golden Plains Community Hospital,HUTCHINSON,Borger,,0,1,6,0,0,0,340
,HUTCHINSON Total,,COUNTY SUBTOTALS,0,,6,0,0,0,340
COUNTY-JACK,,,,,,,,,,
Faith Community Hospital,JACK,Jacksboro,,0,1,1,0,0,0,33
,JACK Total,,COUNTY SUBTOTALS,0,,1,0,0,0,33
COUNTY-JACKSON,,,,,,,,,,
Jackson County Hospital,JACKSON,Edna,,0,,0,0,0,0,0
,JACKSON Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-JASPER,,,,,,,,,,
CHRISTUS Jasper Memorial Hospital,JASPER,Jasper,,2,1,6,0,0,0,310
,JASPER Total,,COUNTY SUBTOTALS,2,,6,0,0,0,310
COUNTY-JEFFERSON,,,,,,,,,,
Baptist Hospitals of Southeast Texas,JEFFERSON,Beaumont,,14,2,27,6,12,3,"1,195"
CHRISTUS Dubuis Hospital of Beaumont,JEFFERSON,Beaumont,,0,,0,0,0,0,0
CHRISTUS St. Elizabeth Hospital,JEFFERSON,Beaumont,,16,2,38,31,0,4,"2,579"
Harbor Hospital of Southeast Texas,JEFFERSON,Beaumont,,0,,0,0,0,0,0
HEALTHSOUTH Rehabilitation Hospital of Beaumont,JEFFERSON,Beaumont,,0,,0,0,0,0,0
Kate Dishman Rehabilitation Hospital,JEFFERSON,Beaumont,,0,,0,0,0,0,0
Mid-Jefferson Extended Care Hospital,JEFFERSON,Nederland,,0,,0,0,0,0,0
The Medical Center of Southeast Texas,JEFFERSON,Port Arthur,,11,2,24,12,0,0,"1,305"
Victory Medical Center Beaumont,JEFFERSON,Beaumont,,0,,0,0,0,0,0
,JEFFERSON Total,,COUNTY SUBTOTALS,41,,89,49,12,7,"5,079"
COUNTY-JIM WELLS,,,,,,,,,,
CHRISTUS Spohn Hospital Alice,JIM WELLS,Alice,,0,1,8,0,0,0,396
,JIM WELLS Total,,COUNTY SUBTOTALS,0,,8,0,0,0,396
COUNTY-JOHNSON,,,,,,,,,,
Texas Health Harris Methodist Hospital Cleburne,JOHNSON,Cleburne,,NAV,2,14,0,0,0,683
,JOHNSON Total,,COUNTY SUBTOTALS,NAV,,14,0,0,0,683
COUNTY-JONES,,,,,,,,,,
Anson General Hospital,JONES,Anson,,0,,0,0,0,0,0
Hamlin Memorial Hospital,JONES,Hamlin,,0,,0,0,0,0,0
Stamford Memorial Hospital,JONES,Stamford,,NAV,,0,0,0,0,0
,JONES Total,,COUNTY SUBTOTALS,NAV,,0,0,0,0,0
COUNTY-KARNES,,,,,,,,,,
Otto Kaiser Memorial Hospital,KARNES,Kenedy,,0,,0,0,0,0,0
,KARNES Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-KAUFMAN,,,,,,,,,,
Texas Health Presbyterian Hospital Kaufman,KAUFMAN,Kaufman,,0,1,24,0,0,0,239
,KAUFMAN Total,,COUNTY SUBTOTALS,0,,24,0,0,0,239
COUNTY-KERR,,,,,,,,,,
Peterson Regional Medical Center,KERR,Kerrville,,0,2,14,0,0,0,430
,KERR Total,,COUNTY SUBTOTALS,0,,14,0,0,0,430
COUNTY-KIMBLE,,,,,,,,,,
Kimble Hospital,KIMBLE,Junction,,0,,0,0,0,0,0
,KIMBLE Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-KLEBERG,,,,,,,,,,
CHRISTUS Spohn Hospital Kleberg,KLEBERG,Kingsville,,NAV,1,8,0,0,0,338
,KLEBERG Total,,COUNTY SUBTOTALS,NAV,,8,0,0,0,338
COUNTY-KNOX,,,,,,,,,,
Knox County Hospital,KNOX,Knox City,,0,,0,0,0,0,0
,KNOX Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-LAMAR,,,,,,,,,,
Dubuis Hospital of Paris,LAMAR,Paris,,0,,0,0,0,0,0
Paris Regional Medical Center - North Campus,LAMAR,Paris,,9,2,23,23,0,0,808
,LAMAR Total,,COUNTY SUBTOTALS,9,,23,23,0,0,808
COUNTY-LAMB,,,,,,,,,,
Lamb Healthcare Center,LAMB,Littlefield,,4,1,3,0,0,0,110
,LAMB Total,,COUNTY SUBTOTALS,4,,3,0,0,0,110
COUNTY-LAMPASAS,,,,,,,,,,
Rollins Brook Community Hospital,LAMPASAS,Lampasas,,0,,0,0,0,0,0
,LAMPASAS Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-LAVACA,,,,,,,,,,
Lavaca Medical Center,LAVACA,Hallettsville,,0,,0,0,0,0,0
Yoakum Community Hospital,LAVACA,Yoakum,,0,1,2,0,0,0,68
,LAVACA Total,,COUNTY SUBTOTALS,0,,2,0,0,0,68
COUNTY-LIBERTY,,,,,,,,,,
Liberty-Dayton Regional Medical Center,LIBERTY,Liberty,,0,,0,0,0,0,0
,LIBERTY Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-LIMESTONE,,,,,,,,,,
Limestone Medical Center,LIMESTONE,Groesbeck,,0,,0,0,0,0,0
Parkview Regional Hospital,LIMESTONE,Mexia,,0,,0,0,0,0,0
,LIMESTONE Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-LLANO,,,,,,,,,,
Scott & White Hospital - Llano,LLANO,Llano,,0,1,3,0,0,0,205
,LLANO Total,,COUNTY SUBTOTALS,0,,3,0,0,0,205
COUNTY-LUBBOCK,,,,,,,,,,
Covenant Children's Hospital,LUBBOCK,Lubbock,,39,,0,34,NAV,0,0
Covenant Medical Center,LUBBOCK,Lubbock,,0,3,51,0,0,0,"2,495"
Covenant Specialty Hospital,LUBBOCK,Lubbock,,0,,0,0,0,0,0
Grace Medical Center,LUBBOCK,Lubbock,,0,,0,0,0,0,0
"Lubbock Heart Hospital, L.P.",LUBBOCK,Lubbock,,0,,0,0,0,0,0
Texas Specialty Hospital at Lubbock,LUBBOCK,Lubbock,,0,,0,0,0,0,0
Trustpoint Hospital,LUBBOCK,Lubbock,,0,,0,0,0,0,0
University Medical Center,LUBBOCK,Lubbock,,26,3,44,41,0,15,"2,974"
,LUBBOCK Total,,COUNTY SUBTOTALS,65,,95,75,NAV,15,"5,469"
COUNTY-LYNN,,,,,,,,,,
Lynn County Hospital District,LYNN,Tahoka,,0,,0,0,0,0,0
,LYNN Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-MADISON,,,,,,,,,,
Madison St. Joseph Health Center,MADISON,Madisonville,,0,,0,0,0,0,0
,MADISON Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-MARTIN,,,,,,,,,,
Martin County Hospital District,MARTIN,Stanton,,0,,0,0,0,0,2
,MARTIN Total,,COUNTY SUBTOTALS,0,,0,0,0,0,2
COUNTY-MATAGORDA,,,,,,,,,,
Matagorda Regional Medical Center,MATAGORDA,Bay City,,NAV,1,10,0,0,0,553
Palacios Community Medical Center,MATAGORDA,Palacios,,0,,0,0,0,0,0
,MATAGORDA Total,,COUNTY SUBTOTALS,NAV,,10,0,0,0,553
COUNTY-MAVERICK,,,,,,,,,,
Fort Duncan Regional Medical Center,MAVERICK,Eagle Pass,,6,1,14,0,0,0,"1,242"
,MAVERICK Total,,COUNTY SUBTOTALS,6,,14,0,0,0,"1,242"
COUNTY-MCCULLOCH,,,,,,,,,,
Heart of Texas Healthcare System,MCCULLOCH,Brady,,0,,0,0,0,0,0
,MCCULLOCH Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-MCLENNAN,,,,,,,,,,
Hillcrest Baptist Medical Center,MCLENNAN,Waco,,24,2,32,32,0,0,"2,868"
Providence Health Center,MCLENNAN,Waco,,8,2,27,0,0,0,"1,535"
,MCLENNAN Total,,COUNTY SUBTOTALS,32,,59,32,0,0,"4,403"
COUNTY-MEDINA,,,,,,,,,,
Medina Regional Hospital,MEDINA,Hondo,,0,1,4,0,0,0,166
,MEDINA Total,,COUNTY SUBTOTALS,0,,4,0,0,0,166
COUNTY-MIDLAND,,,,,,,,,,
Continuecare Hospital of Midland,MIDLAND,Midland,,0,,0,0,0,0,0
HEALTHSOUTH Rehabilitation Hospital of Midland/Odessa,MIDLAND,Midland,,0,,0,0,0,0,0
Midland Memorial Hospital,MIDLAND,Midland,,12,2,50,0,5,2,"2,548"
,MIDLAND Total,,COUNTY SUBTOTALS,12,,50,0,5,2,"2,548"
COUNTY-MILAM,,,,,,,,,,
Little River Healthcare,MILAM,Rockdale,,0,,0,0,0,0,0
Little River Healthcare - Cameron Hospital,MILAM,Cameron,,0,,0,0,0,0,0
,MILAM Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-MITCHELL,,,,,,,,,,
Mitchell County Hospital,MITCHELL,Colorado City,,0,,0,0,0,0,0
,MITCHELL Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-MONTAGUE,,,,,,,,,,
Bowie Memorial Hospital,MONTAGUE,Bowie,,0,,0,0,0,0,0
Nocona General Hospital,MONTAGUE,Nocona,,0,,0,0,0,0,0
,MONTAGUE Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-MONTGOMERY,,,,,,,,,,
Apollo Hospital,MONTGOMERY,The Woodlands,,0,,0,0,0,0,0
Aspire Hospital LLC,MONTGOMERY,Conroe,,0,,0,0,0,0,0
CHG Cornerstone - Conroe,MONTGOMERY,Conroe,,0,,0,0,0,0,0
Conroe Regional Medical Center,MONTGOMERY,Conroe,,0,2,25,5,16,0,"1,236"
HEALTHSOUTH Rehabilitation Hospital The Woodlands,MONTGOMERY,Conroe,,0,,0,0,0,0,0
Kingwood Medical Center,MONTGOMERY,Kingwood,,6,3,44,24,0,0,"2,807"
Memorial Hermann The Woodlands Hospital,MONTGOMERY,The Woodlands,,6,2,40,14,0,0,"4,269"
Nexus Specialty Hospital-The Woodlands Ltd-Shenandoah Campus,MONTGOMERY,Shenandoah,,0,,0,0,0,0,0
Reliant Rehabilitation Hospital North Houston,MONTGOMERY,Shenandoah,,0,,0,0,0,0,0
St. Luke's Lakeside Hospital,MONTGOMERY,The Woodlands,,0,,0,0,0,0,0
St. Luke's the Woodlands Hospital,MONTGOMERY,The Woodlands,,6,2,18,12,0,0,993
,MONTGOMERY Total,,COUNTY SUBTOTALS,18,,127,55,16,0,"9,305"
COUNTY-MOORE,,,,,,,,,,
Memorial Hospital,MOORE,Dumas,,2,1,6,0,0,0,315
,MOORE Total,,COUNTY SUBTOTALS,2,,6,0,0,0,315
COUNTY-NACOGDOCHES,,,,,,,,,,
Nacogdoches Medical Center,NACOGDOCHES,Nacogdoches,,0,1,12,0,0,0,556
Nacogdoches Memorial Hospital,NACOGDOCHES,Nacogdoches,,12,1,7,0,0,0,750
,NACOGDOCHES Total,,COUNTY SUBTOTALS,12,,19,0,0,0,"1,306"
COUNTY-NAVARRO,,,,,,,,,,
Navarro Regional Hospital,NAVARRO,Corsicana,,0,2,5,0,0,0,570
,NAVARRO Total,,COUNTY SUBTOTALS,0,,5,0,0,0,570
COUNTY-NOLAN,,,,,,,,,,
Rolling Plains Memorial Hospital,NOLAN,Sweetwater,,7,1,6,0,0,0,227
,NOLAN Total,,COUNTY SUBTOTALS,7,,6,0,0,0,227
COUNTY-NUECES,,,,,,,,,,
CHRISTUS Spohn Hospital Corpus Christi,NUECES,Corpus Christi,,0,2,17,24,0,0,"3,223"
Corpus Christi Rehabilitation Hospital,NUECES,Corpus Christi,,0,,0,0,0,0,0
Driscoll Children's Hospital,NUECES,Corpus Christi,,101,,0,41,0,20,0
Dubuis Hospital of Corpus Christi,NUECES,Corpus Christi,,0,,0,0,0,0,0
Post Acute Specialty Hospital of Corpus Christi,NUECES,Corpus Christi,,0,,0,0,0,0,0
South Texas Surgical Hospital,NUECES,Corpus Christi,,0,,0,0,0,0,0
The Corpus Christi Medical Center - Bay Area,NUECES,Corpus Christi,,0,2,46,16,16,0,"4,356"
,NUECES Total,,COUNTY SUBTOTALS,101,,63,81,16,20,"7,579"
COUNTY-OCHILTREE,,,,,,,,,,
Ochiltree General Hospital,OCHILTREE,Perryton,,NAV,1,5,0,0,0,193
,OCHILTREE Total,,COUNTY SUBTOTALS,NAV,,5,0,0,0,193
COUNTY-ORANGE,,,,,,,,,,
Baptist Orange Hospital,ORANGE,Orange,,3,,0,0,0,0,0
,ORANGE Total,,COUNTY SUBTOTALS,3,,0,0,0,0,0
COUNTY-PALO PINTO,,,,,,,,,,
Palo Pinto General Hospital,PALO PINTO,Mineral Wells,,0,1,10,0,0,0,344
,PALO PINTO Total,,COUNTY SUBTOTALS,0,,10,0,0,0,344
COUNTY-PANOLA,,,,,,,,,,
East Texas Medical Center - Carthage,PANOLA,Carthage,,0,,0,0,0,0,0
,PANOLA Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-PARKER,,,,,,,,,,
Weatherford Regional Medical Center,PARKER,Weatherford,,0,1,10,0,0,0,629
,PARKER Total,,COUNTY SUBTOTALS,0,,10,0,0,0,629
COUNTY-PARMER,,,,,,,,,,
Parmer Medical Center,PARMER,Friona,,1,,0,0,0,0,0
,PARMER Total,,COUNTY SUBTOTALS,1,,0,0,0,0,0
COUNTY-PECOS,,,,,,,,,,
Iraan General Hospital,PECOS,Iraan,,0,,0,0,0,0,0
Pecos County Memorial Hospital,PECOS,Fort Stockton,,0,1,3,0,0,0,172
,PECOS Total,,COUNTY SUBTOTALS,0,,3,0,0,0,172
COUNTY-POLK,,,,,,,,,,
Memorial Medical Center - Livingston,POLK,Livingston,,2,1,7,0,0,0,196
,POLK Total,,COUNTY SUBTOTALS,2,,7,0,0,0,196
COUNTY-POTTER,,,,,,,,,,
Baptist St. Anthony's Hospital,POTTER,Amarillo,,10,3,20,14,0,3,"2,211"
Northwest Texas Hospital,POTTER,Amarillo,,25,3,38,44,0,12,"2,568"
Physicians Surgical Hospital - Quail Creek Campus,POTTER,Amarillo,,NAV,,0,0,0,0,0
Plum Creek Specialty Hospital,POTTER,Amarillo,,0,,0,0,0,0,0
Vibra Hospital of Amarillo,POTTER,Amarillo,,0,,0,0,0,0,0
Vibra Rehabilitation Hospital of Amarillo,POTTER,Amarillo,,0,,0,0,0,0,0
,POTTER Total,,COUNTY SUBTOTALS,35,,58,58,0,15,"4,779"
COUNTY-RANDALL,,,,,,,,,,
Northwest Texas Surgery Center,RANDALL,Amarillo,,0,,0,0,0,0,0
,RANDALL Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-REAGAN,,,,,,,,,,
Reagan Memorial Hospital,REAGAN,Big Lake,,NAV,,0,0,0,0,0
,REAGAN Total,,COUNTY SUBTOTALS,NAV,,0,0,0,0,0
COUNTY-RED RIVER,,,,,,,,,,
East Texas Medical Center - Clarksville,RED RIVER,Clarksville,,0,,0,0,0,0,0
,RED RIVER Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-REEVES,,,,,,,,,,
Reeves County Hospital,REEVES,Pecos,,0,1,4,0,0,0,126
,REEVES Total,,COUNTY SUBTOTALS,0,,4,0,0,0,126
COUNTY-REFUGIO,,,,,,,,,,
Refugio County Memorial Hospital District,REFUGIO,Refugio,,0,,0,0,0,0,0
,REFUGIO Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-ROCKWALL,,,,,,,,,,
Baylor Emergency Medical Center,ROCKWALL,Rockwall,,0,,0,0,0,0,0
Lake Pointe Medical Center,ROCKWALL,Rowlett,,0,3,13,4,13,0,"1,399"
Texas Health Presbyterian Hospital Rockwall,ROCKWALL,Rockwall,,0,1,10,0,0,0,893
,ROCKWALL Total,,COUNTY SUBTOTALS,0,,23,4,13,0,"2,292"
COUNTY-RUNNELS,,,,,,,,,,
Ballinger Memorial Hospital District,RUNNELS,Ballinger,,0,,0,0,0,0,0
North Runnels Hospital,RUNNELS,Winters,,0,,0,0,0,0,0
,RUNNELS Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-RUSK,,,,,,,,,,
East Texas Medical Center Henderson,RUSK,Henderson,,0,1,14,0,0,0,240
,RUSK Total,,COUNTY SUBTOTALS,0,,14,0,0,0,240
COUNTY-SABINE,,,,,,,,,,
Sabine County Hospital,SABINE,Hemphill,,0,,0,0,0,0,0
,SABINE Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-SAN AUGUSTINE,,,,,,,,,,
Memorial Medical Center - San Augustine,SAN AUGUSTINE,San Augustine,,0,,0,0,0,0,0
,SAN AUGUSTINE Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-SAN PATRICIO,,,,,,,,,,
Care Regional Medical Center,SAN PATRICIO,Aransas Pass,,0,,0,0,0,0,0
,SAN PATRICIO Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-SCHLEICHER,,,,,,,,,,
Schleicher County Medical Center,SCHLEICHER,Eldorado,,0,,0,0,0,0,0
,SCHLEICHER Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-SCURRY,,,,,,,,,,
Cogdell Memorial Hospital,SCURRY,Snyder,,0,1,3,0,0,0,159
,SCURRY Total,,COUNTY SUBTOTALS,0,,3,0,0,0,159
COUNTY-SMITH,,,,,,,,,,
East Texas Medical Center,SMITH,Tyler,,0,2,16,0,6,0,768
East Texas Medical Center Rehabilitation Hospital,SMITH,Tyler,,0,,0,0,0,0,0
East Texas Medical Center Specialty Hospital,SMITH,Tyler,,0,,0,0,0,0,0
